@RELATION HeaderDataClassification

@ATTRIBUTE CellNum		NUMERIC
@ATTRIBUTE AvgCellLen		NUMERIC
@ATTRIBUTE CharNum		NUMERIC
@ATTRIBUTE DigitChRatio		NUMERIC
@ATTRIBUTE AlphaChRatio		NUMERIC
@ATTRIBUTE SymbolChRatio	NUMERIC
@ATTRIBUTE FontSize		NUMERIC
@ATTRIBUTE FontBold		NUMERIC
@ATTRIBUTE FontItalic		NUMERIC
@ATTRIBUTE NumCellRatio		NUMERIC
@ATTRIBUTE CellNumRatio		NUMERIC
@ATTRIBUTE class	{HeaderDataClassification-0, HeaderDataClassification-1}

@DATA
19,	7,	137,	0.00,	0.83,	0.16,	1.0,	0.10,	0.0,	0.0,	0.72,	HeaderDataClassification-1
3,	48,	146,	0.02,	0.0,	0.04,	1.33,	0.66,	0.0,	0.0,	0.0,	HeaderDataClassification-0
3,	56,	169,	0.00,	0.10,	0.02,	1.44,	0.66,	0.0,	0.0,	0.25,	HeaderDataClassification-0
5,	37,	186,	0.04,	0.0,	0.04,	1.28,	0.4,	0.0,	0.4,	0.42,	HeaderDataClassification-0
2,	98,	196,	0.00,	0.03,	0.01,	1.64,	0.5,	0.0,	0.5,	0.33,	HeaderDataClassification-0
1,	197,	197,	0.0,	0.0,	0.00,	2.64,	0.0,	0.0,	1.0,	0.33,	HeaderDataClassification-0
2,	103,	207,	0.00,	0.02,	0.01,	2.32,	0.5,	0.0,	0.5,	0.33,	HeaderDataClassification-0
1,	208,	208,	0.0,	0.0,	0.00,	3.32,	0.0,	0.0,	1.0,	0.33,	HeaderDataClassification-0
4,	10,	40,	0.1,	0.55,	0.35,	12.0,	0.0,	0.0,	0.0,	0.6,	HeaderDataClassification-1
1,	44,	44,	0.0,	0.06,	0.02,	24.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
1,	47,	47,	0.0,	0.04,	0.02,	36.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
1,	56,	56,	0.0,	0.14,	0.01,	48.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
1,	67,	67,	0.0,	0.14,	0.01,	60.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
1,	76,	76,	0.0,	0.10,	0.01,	72.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
1,	88,	88,	0.0,	0.12,	0.01,	84.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
12,	5,	60,	0.08,	0.53,	0.38,	9.87,	0.0,	0.0,	0.5,	0.41,	HeaderDataClassification-1
29,	22,	653,	0.0,	0.74,	0.16,	10.2,	0.0,	0.0,	0.20,	0.07,	HeaderDataClassification-0
34,	55,	1872,	0.00,	0.51,	0.13,	10.2,	0.0,	0.17,	0.08,	0.07,	HeaderDataClassification-0
21,	14,	302,	0.0,	0.81,	0.18,	9.96,	0.0,	0.0,	0.0,	0.02,	HeaderDataClassification-1
22,	41,	909,	0.04,	0.45,	0.16,	10.4,	0.0,	0.0,	0.0,	0.02,	HeaderDataClassification-0
13,	4,	52,	0.15,	0.75,	0.09,	8.96,	0.0,	0.0,	0.0,	0.73,	HeaderDataClassification-1
2,	29,	58,	0.0,	0.10,	0.0,	13.4,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
2,	36,	72,	0.0,	0.19,	0.0,	15.6,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
2,	39,	78,	0.0,	0.05,	0.02,	16.8,	0.0,	0.0,	0.0,	0.8,	HeaderDataClassification-0
18,	5,	104,	0.0,	0.0,	0.25,	9.89,	0.0,	0.0,	0.77,	0.21,	HeaderDataClassification-0
28,	13,	385,	0.00,	0.59,	0.12,	9.31,	0.0,	0.0,	0.64,	0.93,	HeaderDataClassification-0
1,	387,	387,	0.00,	0.0,	0.0,	18.2,	0.0,	0.0,	1.0,	0.93,	HeaderDataClassification-0
3,	9,	27,	0.0,	0.88,	0.11,	1.0,	0.0,	0.0,	0.0,	0.4,	HeaderDataClassification-1
7,	22,	156,	0.0,	0.69,	0.13,	1.14,	0.0,	0.0,	0.0,	0.12,	HeaderDataClassification-0
9,	52,	475,	0.0,	0.55,	0.11,	1.12,	0.0,	0.0,	0.0,	0.12,	HeaderDataClassification-0
16,	1,	28,	0.67,	0.28,	0.03,	1.0,	0.0,	0.0,	0.87,	0.03,	HeaderDataClassification-1
15,	7,	111,	0.0,	0.73,	0.00,	1.06,	0.0,	0.0,	0.0,	0.30,	HeaderDataClassification-0
8,	20,	162,	0.0,	0.31,	0.0,	1.13,	0.0,	0.0,	0.0,	0.06,	HeaderDataClassification-0
7,	27,	190,	0.0,	0.14,	0.0,	1.16,	0.0,	0.0,	0.0,	0.33,	HeaderDataClassification-0
14,	16,	224,	0.0,	0.15,	0.0,	1.08,	0.0,	0.0,	0.0,	0.03,	HeaderDataClassification-0
15,	17,	267,	0.0,	0.16,	0.0,	1.07,	0.0,	0.0,	0.0,	0.03,	HeaderDataClassification-0
4,	1,	4,	1.0,	0.0,	0.0,	1.0,	0.0,	0.0,	1.0,	0.14,	HeaderDataClassification-1
3,	38,	114,	0.0,	0.69,	0.27,	1.33,	0.0,	0.0,	0.0,	0.14,	HeaderDataClassification-0
