@RELATION HeaderDataClassification

@ATTRIBUTE CellNum		NUMERIC
@ATTRIBUTE AvgCellLen		NUMERIC
@ATTRIBUTE CharNum		NUMERIC
@ATTRIBUTE DigitChRatio		NUMERIC
@ATTRIBUTE AlphaChRatio		NUMERIC
@ATTRIBUTE SymbolChRatio	NUMERIC
@ATTRIBUTE FontSize		NUMERIC
@ATTRIBUTE FontBold		NUMERIC
@ATTRIBUTE FontItalic		NUMERIC
@ATTRIBUTE NumCellRatio		NUMERIC
@ATTRIBUTE CellNumRatio		NUMERIC
@ATTRIBUTE SpanningCell		NUMERIC
@ATTRIBUTE AvgAlign		NUMERIC
@ATTRIBUTE AvgOverlap		NUMERIC
@ATTRIBUTE AvgChNumDiff		NUMERIC
@ATTRIBUTE AvgSimDataType	NUMERIC
@ATTRIBUTE AvgSimFontSize	NUMERIC
@ATTRIBUTE SimFontStyle		NUMERIC
@ATTRIBUTE SimContent		NUMERIC
@ATTRIBUTE class	{HeaderDataClassification-0, HeaderDataClassification-1}

@DATA
4,	4,	17,	0.23,	0.70,	0.05,	7.97,	0.0,	0.0,	0.5,	0.0,	0.0,	4.0,	1.0,	0.50,	0.75,	1.0,	1.0,	6.0,	HeaderDataClassification-1
4,	11,	46,	0.45,	0.13,	0.04,	9.96,	0.0,	0.0,	0.75,	0.0,	0.0,	4.0,	1.0,	0.70,	1.0,	1.0,	1.0,	5.0,	HeaderDataClassification-0
4,	18,	73,	0.16,	0.12,	0.08,	10.4,	0.0,	0.0,	0.75,	0.0,	0.0,	4.0,	1.0,	0.81,	0.5,	1.0,	1.0,	4.5,	HeaderDataClassification-0
4,	23,	94,	0.08,	0.08,	0.05,	10.5,	0.0,	0.0,	0.25,	0.6,	0.0,	2.5,	0.74,	0.10,	0.5,	0.59,	0.75,	27.2,	HeaderDataClassification-0
1,	133,	133,	0.04,	0.18,	0.06,	20.5,	0.0,	0.0,	0.0,	0.6,	0.0,	2.5,	0.74,	0.10,	0.5,	0.59,	0.75,	27.2,	HeaderDataClassification-0
2,	18,	37,	0.0,	0.94,	0.05,	7.97,	0.0,	0.0,	0.0,	0.0,	0.0,	4.0,	1.0,	0.76,	1.0,	1.0,	1.0,	15.5,	HeaderDataClassification-1
2,	32,	65,	0.16,	0.2,	0.06,	11.9,	0.0,	0.0,	0.0,	0.0,	0.0,	2.5,	0.99,	0.80,	1.0,	1.0,	1.0,	10.0,	HeaderDataClassification-0
2,	51,	102,	0.10,	0.20,	0.04,	13.9,	0.0,	0.0,	0.0,	0.0,	0.0,	2.5,	0.99,	0.95,	1.0,	1.0,	1.0,	7.0,	HeaderDataClassification-0
2,	68,	137,	0.08,	0.11,	0.05,	14.9,	0.0,	0.0,	0.0,	0.0,	0.0,	2.5,	0.99,	0.80,	1.0,	1.0,	1.0,	8.0,	HeaderDataClassification-0
2,	82,	164,	0.07,	0.04,	0.03,	15.4,	0.0,	0.0,	0.0,	0.0,	0.0,	2.5,	0.99,	0.96,	1.0,	1.0,	1.0,	0.5,	HeaderDataClassification-0
2,	96,	192,	0.07,	0.04,	0.03,	15.6,	0.0,	0.0,	0.0,	0.0,	0.0,	1.0,	1.0,	1.0,	1.0,	1.0,	1.0,	0.0,	HeaderDataClassification-0
2,	110,	220,	0.06,	0.03,	0.02,	15.8,	0.0,	0.0,	0.0,	0.0,	0.0,	2.5,	0.99,	0.86,	1.0,	1.0,	1.0,	5.5,	HeaderDataClassification-0
2,	126,	253,	0.05,	0.04,	0.03,	15.8,	0.0,	0.0,	0.0,	0.0,	0.0,	2.5,	0.99,	0.94,	1.0,	1.0,	1.0,	1.0,	HeaderDataClassification-0
2,	142,	284,	0.04,	0.04,	0.02,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	2.5,	1.0,	0.96,	1.0,	1.0,	1.0,	0.5,	HeaderDataClassification-0
2,	157,	314,	0.03,	0.03,	0.02,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	4.0,	1.0,	0.88,	1.0,	1.0,	1.0,	8.5,	HeaderDataClassification-0
2,	174,	348,	0.03,	0.04,	0.02,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	1.0,	1.0,	1.0,	1.0,	1.0,	1.0,	0.0,	HeaderDataClassification-0
2,	191,	382,	0.03,	0.03,	0.01,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	1.0,	1.0,	1.0,	1.0,	1.0,	1.0,	0.0,	HeaderDataClassification-0
2,	208,	416,	0.03,	0.03,	0.01,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	1.0,	1.0,	1.0,	1.0,	1.0,	1.0,	0.0,	HeaderDataClassification-0
2,	225,	450,	0.02,	0.03,	0.01,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	2.5,	0.99,	0.92,	1.0,	1.0,	1.0,	8.0,	HeaderDataClassification-0
2,	240,	481,	0.02,	0.02,	0.01,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	1.0,	1.0,	1.0,	1.0,	1.0,	1.0,	0.0,	HeaderDataClassification-0
2,	256,	512,	0.02,	0.01,	0.01,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	1.0,	1.0,	1.0,	1.0,	1.0,	1.0,	0.0,	HeaderDataClassification-0
2,	271,	543,	0.02,	0.01,	0.01,	15.9,	0.0,	0.0,	0.0,	0.0,	0.0,	1.0,	1.0,	1.0,	1.0,	1.0,	1.0,	0.0,	HeaderDataClassification-0
5,	6,	32,	0.0,	0.96,	0.03,	1.0,	0.0,	0.0,	0.0,	0.11,	0.0,	2.8,	0.98,	0.38,	0.8,	1.0,	1.0,	18.2,	HeaderDataClassification-1
4,	23,	92,	0.29,	0.23,	0.11,	1.25,	0.0,	0.0,	0.25,	0.0,	0.0,	1.0,	1.0,	0.97,	1.0,	1.0,	1.0,	1.0,	HeaderDataClassification-0
4,	39,	156,	0.17,	0.16,	0.07,	1.31,	0.0,	0.0,	0.25,	0.0,	0.25,	3.5,	1.16,	0.44,	1.0,	1.25,	1.25,	28.2,	HeaderDataClassification-0
4,	47,	188,	0.0,	0.0,	0.17,	1.32,	0.0,	0.0,	0.0,	0.0,	0.0,	1.75,	1.0,	0.54,	1.0,	1.0,	1.0,	14.2,	HeaderDataClassification-0
4,	61,	247,	0.11,	0.07,	0.04,	1.33,	0.0,	0.0,	0.0,	0.33,	0.25,	4.0,	0.87,	0.32,	0.75,	1.0,	1.0,	30.0,	HeaderDataClassification-0
2,	144,	289,	0.00,	0.12,	0.01,	1.66,	0.0,	0.0,	0.5,	0.33,	0.25,	4.0,	0.87,	0.32,	0.75,	1.0,	1.0,	30.0,	HeaderDataClassification-0
9,	3,	35,	0.14,	0.77,	0.08,	1.0,	0.0,	0.0,	0.0,	0.05,	0.11,	4.44,	1.03,	0.64,	0.11,	1.11,	1.11,	4.77,	HeaderDataClassification-1
10,	7,	72,	0.36,	0.04,	0.11,	1.1,	0.0,	0.0,	0.9,	0.0,	0.0,	1.6,	0.99,	0.85,	1.0,	1.0,	1.0,	0.8,	HeaderDataClassification-0
10,	10,	109,	0.23,	0.02,	0.07,	1.11,	0.0,	0.0,	0.9,	0.0,	0.0,	1.6,	0.99,	0.85,	1.0,	1.0,	1.0,	0.8,	HeaderDataClassification-0
10,	14,	146,	0.17,	0.02,	0.05,	1.11,	0.0,	0.0,	0.9,	0.0,	0.0,	1.7,	0.99,	0.85,	1.0,	1.0,	1.0,	0.8,	HeaderDataClassification-0
10,	18,	183,	0.14,	0.01,	0.04,	1.11,	0.0,	0.0,	0.9,	0.0,	0.0,	1.9,	0.99,	0.81,	1.0,	1.0,	1.0,	0.8,	HeaderDataClassification-0
